authors,title
"Allan Third, George Gkotsis, Eleni Kaldoudi, George Drosatos, Nick Portokallidis, Stefanos Roumeliotis, Kalliopi Pafilis and John Domingue",Integrating medical scientific knowledge with the semantically Quantified Self
"Anthony Potter, Boris Motik, Yavor Nenov and Ian Horrocks",Distributed RDF Query Answering with Dynamic Data Exchange
"Armen Inants, Manuel Atencia and Jérôme Euzenat",Algebraic calculi for weighted ontology alignments
"Bahaa Eldesouky, Menna Bakry, Heiko Maus and Andreas Dengel","Seed, an End-user Text Composition Tool for the Semantic Web"
"Chetana Gavankar, Yuan-Fang Li and Ganesh Ramakrishnan",Explicit Query Interpretation and Diversification for Context-driven Concept Search across Ontologies
"David Carral, Cristina Feier and Pascal Hitzler",Practical Acyclicity Notions for Query Answering Horn-SRIQ Ontologies
"Dilshod Ibragimov, Katja Hose, Torben Bach Pedersen and Esteban Zimanyi",Optimizing Aggregate SPARQL Queries using Materialized RDF Views
"Duhai Alshukaili, Alvaro A. A. Fernandes and Norman Paton",Structuring Linked Data Search Results Using Probabilistic Soft Logic
"Eugene Siow, Thanassis Tiropanis and Wendy Hall",SPARQL-to-SQL on Internet of Things Databases and Streams
"Fabian M. Suchanek, Colette Menard, Meghyn Bienvenu and Cyril Chapellier",Can you imagine... a language for combinatorial creativity?
"Freddy Brasileiro, Joao Paulo Almeida, Victorio Albani Carvalho and Giancarlo Guizzardi",Expressive Multi-Level Modeling for the Semantic Web
"Giuseppe De Giacomo, Xavier Oriol, Riccardo Rosati and Domenico Fabio Savo",Updating DL-Lite Ontologies through First-Order Queries
"Gong Cheng, Daxin Liu and Yuzhong Qu",Efficient Algorithms for Association Finding and Frequent Association Pattern Mining
"Ilaria Tiddi, Mathieu d'Aquin and Enrico Motta",Learning to Assess Linked Data Relationships Using Genetic Programming
"Imen Megdiche, Olivier Teste and Cassia Trojahn",An Extensible Linear Approach For Holistic Ontology Matching
"Isa Guclu, Yuan-Fang Li, Jeff Z. Pan and Martin J. Kollingbaum",Predicting Energy Consumption of Ontology Reasoning over Mobile Devices
"Jiaqiang Chen, Niket Tandon, Charles Darwis Hariman and Gerard de Melo",WebBrain: Joint Neural Learning of Large-Scale Commonsense Knowledge
"Konrad Höffner, Jens Lehmann and Ricardo Usbeck",CubeQA—Question Answering on RDF Data Cubes
Konstantina Bereta and Manolis Koubarakis,Ontop of Geospatial Databases
"Lei Zhang, Achim Rettinger and Ji Zhang",A Probabilistic Model for Time-Aware Entity Recommendation
"Lei Zhang, Achim Rettinger and Ji Zhang",A Knowledge Base Approach to Cross-lingual Keyword Query Interpretation
"Linhong Zhu, Majid Ghasemi-Gol, Pedro Szekely, Aram Galstyan and Craig Knoblock",Unsupervised Entity Resolution on Multi-type Graphs
Makoto Nakatsuji,Semantic Sensitive Simultaneous Tensor Factorization
Markus Krötzsch and Veronika Thost,Ontologies for Knowledge Graphs: Breaking the Rules
Melisachew Wudage Chekol and Giuseppe Pirrò,Containment of Expressive SPARQL Navigational Queries
"Michael Cochez, Stefan Decker and Eric Prud'Hommeaux",Knowledge Representation on the Web revisited: the Case for Prototypes
"Minh Pham, Suresh Alse, Craig Knoblock and Pedro Szekely",Semantic labeling: A domain-independent approach
Minh-Duc Pham and Peter Boncz,Exploiting Emergent Schemas to make RDF systems more efficient
"Mohamed H. Gad-Elrab, Daria Stepanova, Jacopo Urbani and Gerhard Weikum",Exception-enriched Rule Learning from Knowledge Graphs
"Mohsen Taheriyan, Craig Knoblock, Pedro Szekely and José Luis Ambite",Leveraging Linked Data to Discover Semantic Relations within Data Sources
Olaf Hartig and M. Tamer Özsu,Walking without a Map: Ranking-Based Traversal for Querying Linked Data
Petar Ristoski and Heiko Paulheim,RDF2Vec: RDF Graph Embeddings for Data Mining
Renzo Angles and Claudio Gutierrez,The multiset semantics of SPARQL patterns
"Sebastian Neumaier, Jürgen Umbrich, Josiane Xavier Parreira and Axel Polleres",Multi-level semantic labelling of numerical values
"Shen Gao, Daniele Dell'Aglio, Soheila Dehghanzadeh, Abraham Bernstein, Emanuele Della Valle and Alessandra Mileo",Planning Ahead: Stream-Driven Linked-Data Access under Update-Budget Constraints
"Steven de Rooij, Wouter Beek, Peter Bloem, Frank van Harmelen and Stefan Schlobach",Are Names Meaningful? Quantifying Social Meaning on the Semantic Web
"Victor Christen, Anika Groß and Erhard Rahm",A Reuse-based Annotation Approach for Medical Documents
"Xiaowang Zhang, Zhiyong Feng, Xin Wang, Guozheng Rao and Wenrui Wu",Context-Free Path Queries on RDF Graphs
"Zlatan Dragisic, Valentina Ivanova, Patrick Lambrix, Daniel Faria, Ernesto Jiménez-Ruiz and Catia Pesquita",User validation in ontology alignment
